"max_depth","eta","min_child_weight","subsample","colsample_bytree","correlation"
6,0.01,1,0.8,0.7,0.286014328956565
6,0.01,1,0.9,0.9,0.285837289313115
6,0.01,1,0.8,0.8,0.285665046147999
6,0.01,1,0.7,0.8,0.28550051358721
3,0.1,3,0.7,0.7,0.285371169992635
6,0.01,1,0.9,0.8,0.285302010696036
6,0.01,5,0.9,0.7,0.285268218178578
6,0.01,3,0.9,0.7,0.285212413977407
6,0.01,3,0.7,0.7,0.28512771157837
6,0.01,1,0.7,0.9,0.285102521554721
6,0.01,1,0.7,0.7,0.285061190314866
3,0.05,3,0.7,0.9,0.285056903170642
6,0.01,5,0.9,0.9,0.285010773375254
6,0.01,5,0.8,0.8,0.284910609292783
3,0.05,1,0.8,0.8,0.284905560454293
6,0.01,3,0.8,0.9,0.284895238107629
6,0.01,3,0.8,0.8,0.284886728616818
6,0.01,5,0.7,0.9,0.284868728179346
6,0.01,5,0.8,0.9,0.284839227690592
3,0.05,1,0.8,0.7,0.284788324582608
6,0.01,5,0.9,0.8,0.284713256722308
6,0.01,3,0.9,0.9,0.284512303231084
6,0.01,3,0.7,0.8,0.28450264196632
6,0.01,1,0.8,0.9,0.284401768236852
3,0.05,1,0.8,0.9,0.284305633125036
3,0.05,5,0.8,0.7,0.284285299762133
6,0.01,5,0.8,0.7,0.284247434185079
6,0.01,3,0.7,0.9,0.284215560290554
6,0.01,5,0.7,0.7,0.28421535322754
6,0.01,3,0.8,0.7,0.284214819506549
6,0.01,5,0.7,0.8,0.284147584499712
6,0.01,3,0.9,0.8,0.284076294854726
3,0.05,5,0.7,0.9,0.283855570920215
3,0.05,5,0.9,0.8,0.283804497065803
3,0.05,3,0.9,0.9,0.283769525954959
3,0.05,3,0.8,0.7,0.283725899803577
3,0.05,3,0.8,0.9,0.28353777820212
3,0.05,1,0.9,0.9,0.283500067522644
3,0.05,3,0.9,0.8,0.283497761663907
3,0.05,5,0.9,0.7,0.283347813314219
3,0.05,5,0.8,0.9,0.283288234375518
3,0.05,1,0.7,0.8,0.283277464730445
3,0.05,1,0.7,0.7,0.283239870368451
3,0.05,1,0.9,0.7,0.283171459462844
3,0.05,3,0.8,0.8,0.283155495681103
3,0.05,1,0.7,0.9,0.2831130267986
3,0.05,5,0.9,0.9,0.283060862372199
3,0.05,5,0.8,0.8,0.282916656795463
3,0.05,3,0.7,0.8,0.282849978466611
3,0.05,3,0.7,0.7,0.282847178837431
3,0.05,5,0.7,0.8,0.282488827328761
3,0.05,5,0.7,0.7,0.28236939948192
3,0.05,1,0.9,0.8,0.282225933805668
3,0.05,3,0.9,0.7,0.281631442781306
3,0.03,1,0.7,0.8,0.279820385860443
3,0.03,5,0.7,0.8,0.279762881935747
5,0.01,1,0.9,0.8,0.279709353904305
5,0.01,1,0.7,0.7,0.279663667457382
3,0.03,1,0.9,0.7,0.279573168826203
5,0.01,1,0.7,0.8,0.279466766881832
3,0.03,1,0.8,0.7,0.279404199415881
3,0.03,5,0.7,0.7,0.279356142097867
5,0.01,1,0.7,0.9,0.279342015194357
3,0.03,1,0.7,0.7,0.279278553502196
3,0.03,1,0.8,0.8,0.279248016805337
3,0.03,3,0.7,0.8,0.279134943428261
3,0.03,1,0.7,0.9,0.279129955385654
3,0.03,5,0.9,0.8,0.279109232832754
5,0.01,1,0.8,0.7,0.279100211539326
3,0.03,3,0.7,0.7,0.279065774980746
5,0.01,3,0.9,0.7,0.279049102173083
3,0.03,3,0.7,0.9,0.279006041886329
5,0.01,1,0.8,0.9,0.278960196324172
3,0.03,3,0.9,0.7,0.278946246152263
5,0.01,1,0.8,0.8,0.278871929192643
5,0.01,1,0.9,0.7,0.278811452841569
5,0.01,1,0.9,0.9,0.278764972682053
3,0.03,5,0.8,0.7,0.278696043582624
3,0.03,5,0.7,0.9,0.278687791303828
5,0.01,3,0.7,0.9,0.278664851298777
3,0.03,3,0.8,0.8,0.27857400976168
3,0.03,5,0.8,0.8,0.278543857958777
5,0.01,3,0.9,0.8,0.278543012148762
3,0.03,5,0.8,0.9,0.278517746206888
3,0.03,3,0.9,0.8,0.278502638522852
3,0.03,3,0.8,0.9,0.278442353121929
