id,name
676198,Chase Pinder
702041,Chase Renner
663767,Chase Shugart
681217,Chase Silseth
668664,Chase Strumpf
592741,Chasen Shreve
807410,Chay Yeager
694646,Chayce McDermott
475054,Chaz Roe
596144,Cheslor Cuthbert
592346,Chi Chi González
502042,Chris Archer
605135,Chris Bassitt
448801,Chris Davis
606965,Chris Devenski
595939,Chris Ellis
623167,Chris Flexen
656467,Chris Gittens
815454,Chris Kean
455119,Chris Martin
607391,Chris Mazza
687226,Chris McElvain
687070,Chris Mokma
669684,Chris Murphy
608360,Chris Okey
572008,Chris Owings
663978,Chris Paddack
669735,Chris Rodriguez
676896,Chris Roller
688297,Chris Roycroft
543734,Chris Rusin
519242,Chris Sale
608717,Chris Stratton
621035,Chris Taylor
681808,Chris Vallimont
810102,Chris Veach
680754,Chris Williams
675910,Chris Williams
624414,Christian Arroyo
800875,Christian Becerra
542194,Christian Bethancourt
518568,Christian Colón
687952,Christian Encarnacion-Strand
683766,Christian Koss
547173,Christian Lopes
681306,Christian MacLeod
801216,Christian Montes De Oca
695681,Christian Moore
685005,Christian Roa
815184,Christian Rodriguez
681035,Christian Scott
543877,Christian Vázquez
572233,Christian Walker
592885,Christian Yelich
621514,Christin Stewart
683532,Christopher Familia
687422,Christopher Mauloni
666624,Christopher Morel
642020,Chuckie Robinson
672335,Cionel Pérez
657376,Clarke Schmidt
687867,Clay Dungan
605280,Clay Holmes
677076,Clayton Andrews
690925,Clayton Beeter
693073,Clayton Campbell
477132,Clayton Kershaw
699283,Cleiber Maldonado
672558,Cleiverth Perez
814136,Clevari Tejada
621520,Clint Coulter
640449,Clint Frazier
664697,Cobie Fletcher-Vance
691723,Coby Mayo
815089,Coby Morales
663796,Coco Montes
676051,Codi Heuer
694832,Cody Adcock
641355,Cody Bellinger
675989,Cody Bolton
674003,Cody Bradford
606944,Cody Carroll
683227,Cody Freeman
689520,Cody Laweryson
663752,Cody Morris
664074,Cody Ponce
547001,Cody Poteet
642003,Cody Reed
663944,Cody Roberts
642060,Cody Sedlock
664054,Cody Stashak
642137,Cody Thomas
680963,Cody Wilson
690985,Colby Halter
802418,Colby Holcombe
814508,Colby Martin
694974,Colby Shade
687515,Colby Thomas
430935,Cole Hamels
669371,Cole Henry
608344,Cole Irvin
687243,Cole Kirschsieper
696516,Cole Patten
828497,Cole Peschl
666142,Cole Ragans
663485,Cole Sands
800616,Cole Schoenwetter
642121,Cole Sulser
657061,Cole Tucker
686972,Cole Waites
677961,Cole Wilcox
668390,Cole Winn
702284,Cole Young
813866,Cole Zaffiro
802953,Colin Fields
670059,Colin Holderman
806124,Colin Houck
592567,Colin Moran
621363,Colin Poche
607067,Colin Rea
681882,Colin Selby
806331,Collin Lowe
543521,Collin McHugh
676092,Collin Snider
621079,Collin Wiles
695657,Colson Montgomery
690993,Colt Keith
605155,Colten Brewer
681297,Colton Cowser
676467,Colton Gordon
666213,Colton Welker
813349,Connelly Early
668843,Conner Capel
641632,Conner Greene
669214,Conner Menez
641401,Connor Brogdon
683353,Connor Caskenette
687362,Connor Gillispie
801127,Connor Holden
667442,Connor Hollis
656582,Connor Joe
663731,Connor Kaiser
681393,Connor Norby
683354,Connor O'Halloran
656818,Connor Overton
683175,Connor Phillips
592712,Connor Sadzeck
657756,Connor Seabold
671162,Connor Thomas
657136,Connor Wong
688682,Cooper Bowman
681867,Cooper Criswell
669450,Cooper Hummel
669203,Corbin Burnes
682998,Corbin Carroll
656686,Corbin Martin
572816,Corey Dickerson
687144,Corey Joyce
667452,Corey Julks
446372,Corey Kluber
608349,Corey Knebel
621261,Corey Oswalt
641999,Corey Ray
681468,Corey Rosier
608369,Corey Seager
676265,Cory Abbott
518715,Cory Gearrin
675375,Cory Lewis
518886,Craig Kimbrel
489334,Craig Stammen
684974,Craig Yoho
682725,Cristhian Rodriguez
692490,Cristian Feliz
664299,Cristian Javier
691441,Cristian Mena
665506,Cristian Pache
694184,Cristian Santana
805684,Cristofer Gomez
642657,Cristofer Ogando
650911,Cristopher Sánchez
592200,Curt Casali
678554,Curtis Mead
668954,Curtis Taylor
663799,Curtis Terry
605482,Cy Sneed
514917,César Hernández
693409,César Prieto
527049,César Puello
663967,César Salazar
491624,César Valdez
592637,D. J. Peterson
687792,DJ Herz
597113,DJ Johnson
518934,DJ LeMahieu
656847,DJ Peters
621466,DJ Stewart
669084,DL Hall
680577,DaShawn Keirsey
680118,Dairon Blanco
621290,Dakota Bacus
641712,Dakota Hudson
696282,Dakota Kotowski
689359,Dale Stanavich
572971,Dallas Keuchel
656495,Dalton Guthrie
665138,Dalton Kelly
687221,Dalton Rushing
672777,Dalvin Rosario
671913,Damiano Palmegiani
676103,Damon Jones
656186,Dan Altavilla
547176,Dan Camarena
596129,Dan Vogelbach
595465,Dan Winkler
641540,Dane Dunning
667472,Dane Myers
453268,Daniel Bard
641447,Daniel Castano
684543,Daniel Cope
650960,Daniel Duarte
806413,Daniel Guerra
679702,Daniel Harper
543339,Daniel Hudson
669288,Daniel Johnson
663738,Daniel Lynch
596043,Daniel Mengden
665914,Daniel Montano
502517,Daniel Murphy
596057,Daniel Norris
694037,Daniel Palencia
594953,Daniel Palka
807949,Daniel Perez
594965,Daniel Ponce de Leon
